trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.2, 'e': 0.9314288037569908}",20,10,-43.810556669838064,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.2, 'e': 0.9304973749532338}",25,0,-202.2741604889104,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",1
73,False,"{'a': 0.2, 'e': 0.9295668775782806}",25,0,-96.63971625723084,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
74,False,"{'a': 0.2, 'e': 0.9286373107007023}",20,0,-102.11955072858731,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
75,False,"{'a': 0.2, 'e': 0.9277086733900016}",20,0,-89.96700554700791,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
76,False,"{'a': 0.2, 'e': 0.9267809647166116}",30,0,-197.76923661928623,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
77,False,"{'a': 0.2, 'e': 0.925854183751895}",25,0,-82.24446033024641,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
78,False,"{'a': 0.2, 'e': 0.9249283295681431}",20,16,7.204411630560107,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.9240034012385749}",20,0,-76.68461468438096,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.2, 'e': 0.9230793978373364}",30,0,-160.22959185309458,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
81,False,"{'a': 0.2, 'e': 0.9221563184394991}",25,0,-94.50251544837185,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
82,False,"{'a': 0.2, 'e': 0.9212341621210596}",20,0,-76.09323811244407,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
83,False,"{'a': 0.2, 'e': 0.9203129279589385}",20,0,-117.36183497008457,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
84,False,"{'a': 0.2, 'e': 0.9193926150309796}",20,0,-60.112246665514725,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
85,False,"{'a': 0.2, 'e': 0.9184732224159486}",20,0,-45.03185796746805,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
86,False,"{'a': 0.2, 'e': 0.9175547491935327}",20,0,-133.25004930592732,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
87,False,"{'a': 0.2, 'e': 0.9166371944443392}",25,0,-170.572626612055,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
88,False,"{'a': 0.2, 'e': 0.9157205572498949}",35,0,-197.54730948484206,"{0: 22, 1: 2, 2: 5, 3: 4, 4: 2}",0
89,False,"{'a': 0.2, 'e': 0.914804836692645}",20,2,-85.17883024386282,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 1}",1
90,False,"{'a': 0.2, 'e': 0.9138900318559524}",20,0,-136.25572671515377,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
91,False,"{'a': 0.2, 'e': 0.9129761418240965}",20,2,-32.49332593103692,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.9120631656822724}",25,0,-62.38741007864458,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
93,False,"{'a': 0.2, 'e': 0.9111511025165902}",25,4,-66.1381217506614,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 1}",1
94,False,"{'a': 0.2, 'e': 0.9102399514140735}",20,0,-143.07004417702555,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
95,False,"{'a': 0.2, 'e': 0.9093297114626595}",25,0,-127.69367684244459,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
96,False,"{'a': 0.2, 'e': 0.9084203817511969}",20,0,-42.45527134949083,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
97,False,"{'a': 0.2, 'e': 0.9075119613694457}",20,13,-34.47401658462458,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.2, 'e': 0.9066044494080763}",20,0,-74.36544627117237,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
99,False,"{'a': 0.2, 'e': 0.9056978449586682}",20,1,-90.06717424366828,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 1}",1
100,False,"{'a': 0.2, 'e': 0.9047921471137096}",25,0,-134.87336567900428,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
101,False,"{'a': 0.2, 'e': 0.9038873549665959}",30,6,-6.90311666757521,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
102,False,"{'a': 0.2, 'e': 0.9029834676116293}",25,0,-106.36552621660275,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
103,False,"{'a': 0.2, 'e': 0.9020804841440176}",20,0,-10.226085566218512,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.2, 'e': 0.9011784036598737}",25,0,-103.5213474339295,"{0: 15, 1: 6, 2: 1, 3: 2, 4: 1}",0
105,False,"{'a': 0.2, 'e': 0.9002772252562138}",20,0,-211.2101506549281,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
106,False,"{'a': 0.2, 'e': 0.8993769480309576}",20,0,-86.99425749491668,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
107,False,"{'a': 0.2, 'e': 0.8984775710829266}",20,0,-119.6843658809508,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
108,False,"{'a': 0.2, 'e': 0.8975790935118436}",30,0,-59.71162274629258,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
109,False,"{'a': 0.2, 'e': 0.8966815144183318}",25,0,-49.767527063155256,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
110,False,"{'a': 0.2, 'e': 0.8957848329039134}",20,0,-26.89970918605883,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
111,False,"{'a': 0.2, 'e': 0.8948890480710096}",30,0,-168.62737278888574,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
112,False,"{'a': 0.2, 'e': 0.8939941590229386}",30,0,-55.54428741957896,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
113,False,"{'a': 0.2, 'e': 0.8931001648639156}",20,0,-38.00602060176467,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
114,False,"{'a': 0.2, 'e': 0.8922070646990518}",20,0,-131.32728397799127,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
115,False,"{'a': 0.2, 'e': 0.8913148576343527}",20,0,-50.23493621399951,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
116,False,"{'a': 0.2, 'e': 0.8904235427767183}",25,0,-159.8683103858839,"{0: 13, 1: 6, 2: 2, 3: 2, 4: 2}",0
117,False,"{'a': 0.2, 'e': 0.8895331192339416}",25,2,-113.45329965096151,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 1}",1
118,False,"{'a': 0.2, 'e': 0.8886435861147077}",25,0,-68.91166544955091,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 0.2, 'e': 0.887754942528593}",20,0,-42.242833941783076,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
120,False,"{'a': 0.2, 'e': 0.8868671875860644}",35,0,-188.23111808191882,"{0: 21, 1: 4, 2: 5, 3: 3, 4: 2}",0
121,False,"{'a': 0.2, 'e': 0.8859803203984784}",20,0,-142.54633901934386,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
122,False,"{'a': 0.2, 'e': 0.88509434007808}",20,6,-24.976367530863705,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.8842092457380019}",25,2,-112.47062312549913,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 2}",1
124,False,"{'a': 0.2, 'e': 0.8833250364922639}",20,7,-84.0544904322219,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 1}",1
125,False,"{'a': 0.2, 'e': 0.8824417114557717}",25,0,-134.3404134093265,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
126,False,"{'a': 0.2, 'e': 0.8815592697443159}",25,0,-41.115637684074315,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.2, 'e': 0.8806777104745716}",20,0,-157.67783963049715,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
128,False,"{'a': 0.2, 'e': 0.8797970327640969}",25,0,-176.90892013586745,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
129,False,"{'a': 0.2, 'e': 0.8789172357313328}",25,0,-194.9678613796925,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
130,False,"{'a': 0.2, 'e': 0.8780383184956015}",35,0,-88.20913138510682,"{0: 22, 1: 5, 2: 7, 3: 1, 4: 0}",0
131,False,"{'a': 0.2, 'e': 0.8771602801771059}",20,0,-205.02309504302752,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 4}",0
132,False,"{'a': 0.2, 'e': 0.8762831198969288}",20,8,-44.671881734572956,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 0}",1
133,False,"{'a': 0.2, 'e': 0.8754068367770318}",25,0,-187.81089714962974,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
134,False,"{'a': 0.2, 'e': 0.8745314299402548}",30,0,-104.34841492736274,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
135,False,"{'a': 0.2, 'e': 0.8736568985103146}",20,0,-48.715857212170235,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
136,False,"{'a': 0.2, 'e': 0.8727832416118043}",20,0,-17.868641029549813,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
137,False,"{'a': 0.2, 'e': 0.8719104583701925}",20,0,-81.79005851613755,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
